,clusterNo.,x,y
153,1.0,114.04382008897305,22.52671708923765
154,2.0,114.0440721470792,22.515314830661893
155,1.0,114.04393513911144,22.522212346029995
156,1.0,114.04384467626915,22.526462051214356
157,1.0,114.04390449043086,22.52394509011758
158,1.0,114.04385647946238,22.526347809851487
159,1.0,114.04393530833839,22.5226720394357
160,1.0,114.0438805458537,22.525311439974878
161,2.0,114.04403984533498,22.51784290310851
162,2.0,114.04405754299587,22.517053997792257
163,2.0,114.04405924819822,22.517432350633626
164,1.0,114.0439574229978,22.522355687401088
165,1.0,114.04396455666624,22.52247790036699
166,1.0,114.04398599666484,22.522246613267825
167,1.0,114.04398596799815,22.522689276367824
168,1.0,114.04383344790408,22.52986302835843
169,1.0,114.04384058357398,22.52967099836678
170,1.0,114.04392035691264,22.525959966328568
171,1.0,114.04385386762017,22.529484018049946
172,1.0,114.04393590688505,22.52572497579354
173,1.0,114.04386125456905,22.529286917144805
174,1.0,114.04401221199319,22.522370541296088
175,2.0,114.04409571378157,22.51858609064554
176,1.0,114.04387235654376,22.529093967965736
177,1.0,114.04394979014204,22.525524470185346
178,1.0,114.04388022193957,22.528954321544234
179,1.0,114.04388888054714,22.528734929739194
180,2.0,114.04416444794496,22.51594558539285
181,1.0,114.04399660033162,22.523928040952445
182,1.0,114.04402954501428,22.522489986885663
183,1.0,114.04392601705845,22.52801189968229
184,1.0,114.04398222199873,22.525391474300598
185,1.0,114.04397983341221,22.525511501205646
186,1.0,114.04406099277325,22.521722521323305
187,2.0,114.04415162476369,22.517751284703838
188,1.0,114.04405741649595,22.522200215217442
189,1.0,114.04399136807527,22.52594500478743
190,1.0,114.04399872584776,22.52572285205944
191,1.0,114.0440676167391,22.522639170129032
192,2.0,114.0442355989376,22.515721911881986
193,1.0,114.04410615086721,22.522335916136417
194,1.0,114.0440840671898,22.524211950914992
195,2.0,114.04421529418603,22.51810610250133
196,1.0,114.04398782024215,22.529868905310288
197,1.0,114.0441538125071,22.522462638541406
198,1.0,114.0440582279973,22.527057979483853
199,1.0,114.04408164216083,22.52596930352478
200,1.0,114.0440090612621,22.529498188663105
201,1.0,114.04423085980275,22.519186980041887
202,1.0,114.04416990099595,22.52215538311777
203,1.0,114.04407882177442,22.52676767173678
204,1.0,114.04403048943456,22.529108860339708
205,1.0,114.04410340499857,22.525752145409136
206,1.0,114.04414355295276,22.524342543830368
207,1.0,114.04407632549606,22.527952684443665
208,1.0,114.04419165344484,22.522618152270486
209,1.0,114.04405031064528,22.52946464097918
210,1.0,114.04409339633892,22.5281599220179
211,1.0,114.04421809801043,22.522303938243216
212,1.0,114.0441858580722,22.523879745542768
213,1.0,114.04408938734873,22.528749251908966
214,1.0,114.04418046251577,22.524479325025556
215,2.0,114.04437083196548,22.515536107765456
216,1.0,114.04414416946395,22.526395276813382
217,1.0,114.04426094000712,22.522432683691353
218,1.0,114.04422548786272,22.524156666343742
219,1.0,114.04421795101042,22.524568438443882
220,1.0,114.04414640802206,22.52801903648306
221,1.0,114.04425099915701,22.523190066392758
222,1.0,114.04414015632062,22.52846282174266
223,1.0,114.04428202158857,22.522128413379274
224,1.0,114.04418477163934,22.52746608937038
225,1.0,114.04431449249442,22.522596092951254
226,1.0,114.04428439805153,22.524434023620653
227,1.0,114.04424181663674,22.526498390758537
228,1.0,114.04433382596577,22.522274752572823
229,1.0,114.0442875753091,22.524682260318816
230,1.0,114.04430168013003,22.524276132178795
231,1.0,114.04437342519607,22.522392807633864
232,1.0,114.0443283752621,22.524539239806735
233,1.0,114.04438231882627,22.52291858881681
234,1.0,114.04439651347808,22.52282816084139
235,1.0,114.04431924645884,22.52700816221276
236,1.0,114.04442700851833,22.522085474268504
237,1.0,114.04444477273326,22.521347272649972
238,1.0,114.04439474000723,22.524087424744625
239,1.0,114.04443769099015,22.522551239801317
240,1.0,114.04440863485637,22.524365910328832
241,1.0,114.04446057663024,22.52223135700634
242,1.0,114.04445316293402,22.52348930195786
243,1.0,114.04453089286744,22.520406245249767
244,1.0,114.04444724137537,22.524511655568553
245,1.0,114.04449736920944,22.52235995910142
246,1.0,114.0444482585283,22.524785982403877
247,1.0,114.04445568250614,22.524622130891174
248,1.0,114.04446891854138,22.52491774555617
249,1.0,114.04448579031931,22.524211113196976
250,1.0,114.04447502252087,22.52505845606745
251,1.0,114.04453846214517,22.522537617941058
252,1.0,114.04454930859991,22.523163113752553
253,1.0,114.04452645118141,22.524330685301106
254,1.0,114.0445409305443,22.524044669091342
255,1.0,114.0445661191961,22.52445870134402
256,1.0,114.044633782653,22.521696698229565
257,1.0,114.04458217000648,22.524741108390558
258,2.0,114.04472335042067,22.518319644210443
259,1.0,114.04461505155233,22.524871871793717
260,1.0,114.04471518619097,22.52028515067026
261,1.0,114.04461705531787,22.52501479773222
262,1.0,114.0446283221079,22.52457318915292
263,1.0,114.04468008646901,22.522560253689253
264,1.0,114.0446471465325,22.52417917659591
265,1.0,114.04465815515917,22.52396808856234
266,1.0,114.04469760000025,22.522302680334814
267,1.0,114.04467860699039,22.52439900693171
268,1.0,114.04467832073468,22.52470439920155
269,1.0,114.04473092301379,22.52271618789116
270,1.0,114.0447966947901,22.520613004686684
271,1.0,114.04473219587041,22.524017352397262
272,2.0,114.04487837703084,22.517467662534187
273,1.0,114.04473786195324,22.52425824338175
274,1.0,114.04477604721163,22.522826701203797
275,1.0,114.04474287450252,22.524537616639194
276,1.0,114.04475355900526,22.52497859719244
277,1.0,114.04481959570744,22.522054749625966
278,2.0,114.04496526464945,22.515370291258634
279,1.0,114.04479646517179,22.52412623223156
280,1.0,114.04482982164993,22.522954951755384
281,1.0,114.04480504955563,22.524373182949123
